Precision,Question,BatchSize,Token_Step,Token_Rank,Token_ID,Prob_B1,Mean_Prob_Runs,Std_Prob_Runs (sigma_j),Range_Prob_Runs (R_j),Logit_B1,Mean_Logit_Runs,Std_Logit_Runs,Range_Logit_Runs
fp16,question_000,16,0,1,151667,1.0,1.0,0.0,0.0,39.59375,39.57749938964844,0.01561238244175911,0.03125
fp16,question_000,16,0,2,151643,5.211412412720051e-10,5.249807810692175e-10,9.225544807256458e-12,3.308964213744048e-11,18.21875,18.209686279296875,0.011730179190635681,0.046875
fp16,question_000,16,0,3,198,9.791954053151031e-11,9.884812413041288e-11,1.1145768552892066e-12,4.626396488127682e-12,16.546875,16.53999900817871,0.015674883499741554,0.046875
fp16,question_000,16,0,4,27600,4.2777878461741636e-11,4.334878289657951e-11,7.063130462447997e-13,2.036974755537102e-12,15.71875,15.715624809265137,0.011587820015847683,0.0546875
fp16,question_000,16,0,5,151668,3.987336849586853e-11,4.007004103523393e-11,4.945766018948916e-13,1.246090036710612e-12,15.6484375,15.637030601501465,0.008729027584195137,0.0390625
fp16,question_000,16,0,6,29421,5.926647193843504e-12,6.023829005052939e-12,1.1175287176765428e-13,2.844252611211573e-13,13.7421875,13.74203109741211,0.010064512491226196,0.0390625
fp16,question_000,16,0,7,1101,3.484096041186935e-12,3.5045271806061207e-12,4.0298744430431604e-14,1.3771080629998433e-13,13.2109375,13.200468063354492,0.013496401719748974,0.0625
fp16,question_000,16,0,8,1632,2.489971119915002e-12,2.4774110714276265e-12,3.47121284624205e-14,9.613750767689666e-14,12.875,12.853593826293945,0.012961244210600853,0.0390625
fp16,question_000,16,0,9,271,1.9851780809487796e-12,2.0105581696044927e-12,1.9555742726659782e-14,6.252593928723904e-14,12.6484375,12.644843101501465,0.008729052729904652,0.03125
fp16,question_000,16,0,10,108380,1.9697292841930336e-12,1.975825969849354e-12,3.0742596646539735e-14,1.081545877162915e-13,12.640625,12.62734317779541,0.010275742970407009,0.03125
fp16,question_000,16,1,1,198,0.9999877214431763,0.9999876022338867,1.9182039068255108e-07,7.152557373046875e-07,31.453125,31.4375,0.016237936913967133,0.0625
fp16,question_000,16,1,2,271,1.1125594937766436e-05,1.119682565331459e-05,1.822928226147269e-07,6.954551281523891e-07,20.046875,20.037500381469727,0.015309297479689121,0.0625
fp16,question_000,16,1,3,510,3.359638753863692e-07,3.3781054753490025e-07,6.221581028142964e-09,1.5873297343205195e-08,16.546875,16.536561965942383,0.011097070761024952,0.046875
fp16,question_000,16,1,4,201,2.2732452009677218e-07,2.2790391085436568e-07,2.1671415773028002e-09,1.057385645708564e-08,16.15625,16.143125534057617,0.010986490175127983,0.03125
fp16,question_000,16,1,5,715,1.3787929731279291e-07,1.3995531844557263e-07,1.9782295801462624e-09,8.618769697932294e-09,15.65625,15.655467987060547,0.011614130809903145,0.0390625
fp16,question_000,16,1,6,11,1.2263237181286968e-07,1.2271873117697396e-07,1.54187018708285e-09,4.771933959091257e-09,15.5390625,15.524062156677246,0.011358009651303291,0.0390625
fp16,question_000,16,1,7,105525,7.042184790861938e-08,6.837054655761676e-08,1.0881082701530431e-09,3.2248692605207907e-09,14.984375,14.939062118530273,0.011796554550528526,0.046875
fp16,question_000,16,1,8,151667,5.3574115810306466e-08,5.530078439619501e-08,1.6758288090557016e-09,7.092747722481363e-09,14.7109375,14.7265625,0.020312566310167313,0.0859375
fp16,question_000,16,1,9,25,4.372591888568422e-08,4.3611287026124046e-08,8.431448317303136e-10,2.382215313900815e-09,14.5078125,14.489375114440918,0.012861965224146843,0.046875
fp16,question_000,16,1,10,151643,4.271301179414877e-08,4.216163063119893e-08,6.841285871139746e-10,2.3089299361345184e-09,14.484375,14.4556245803833,0.011738522909581661,0.046875
fp16,question_000,16,2,1,5338,0.8651160597801208,0.8642182946205139,0.002204299671575427,0.00661015510559082,35.4375,35.43562316894531,0.02016533352434635,0.0625
